DEPARTAMENTO,MUNICIPIO,ZZ,PP,PUESTO,MESA,COD CAN,CANDIDATO,POTENCIAL,% Partic. Mesa PRE,Votos Mesa PRE,Votos Mesa ESC,Votos Cand. PRE,Votos Cand. ESC,Dif. Cand. Neta,% Cand. Mesa PRE,% Cand. Mesa ESC,% Cand. Mun PRE,% Cand. Mun ESC,Dif. % Mesa-Mun PRE,Dif. % Mesa-Mun ESC,Var. Súbita PRE,Var. Súbita ESC,Concent. Cand. PRE,Concent. Cand. ESC,Diferencias Mesa (-),Diferencias Mesa (+),Dif. Mesa Neta,En términos,Estado del sobre,Excluida,Firmas Jurados,Recontada Comisión,Recontada Jurados,Sufragantes E11 según E14,Sufragantes según E11,Tacahaduras y/o Enmendaduras,Total Votos E14,Votos Urna,Votos Incinerados
88 CONSULADOS,360-ESTADOS UNIDOS,35.0,81,LUNES LOS ANGELES - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0942,942,0,694.0,,,0.7367,,0.721,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-942.0,0.0,-942.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0615,615,0,564.0,,,0.9171,,0.721,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-615.0,0.0,-615.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,40.0,81,LUNES MIAMI - CONSULADO,15.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0573,573,0,526.0,,,0.918,,0.721,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-573.0,0.0,-573.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0562,562,0,503.0,,,0.895,,0.721,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-562.0,0.0,-562.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0548,548,0,497.0,,,0.9069,,0.721,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-548.0,0.0,-548.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,57.0,83,MIERCOLES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0635,635,0,486.0,,,0.7654,,0.721,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-635.0,0.0,-635.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,57.0,85,VIERNES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0663,663,0,485.0,,,0.7315,,0.721,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-663.0,0.0,-663.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,6.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0558,558,0,470.0,,,0.8423,,0.721,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-558.0,0.0,-558.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,40.0,83,MIERCOLES MIAMI - CONSULADO,7.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0603,603,0,466.0,,,0.7728,,0.721,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-603.0,0.0,-603.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0525,525,0,465.0,,,0.8857,,0.721,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-525.0,0.0,-525.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0527,527,0,465.0,,,0.8824,,0.721,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-527.0,0.0,-527.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,57.0,84,JUEVES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0593,593,0,439.0,,,0.7403,,0.721,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-593.0,0.0,-593.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0494,494,0,437.0,,,0.8846,,0.721,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-494.0,0.0,-494.0,,,,0,,,,0,,,,
88 CONSULADOS,360-ESTADOS UNIDOS,40.0,82,MARTES MIAMI - CONSULADO,6.0,4.0,ABELARDO DE LA ESPRIELLA,9999,0.0552,552,0,435.0,,,0.788,,0.721,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-552.0,0.0,-552.0,,,,0,,,,0,,,,
